Sensitive_Strain	Supernatant	Concentration	Tech_repl	Biol_repl	Plate_number	control	AUC	normAUC	fConcentration
B. vulgatus	B. vulgatus pempty	10	tech2	biol2	plate8	FALSE	1.4400630914826498	0.08999346622813603	10
B. vulgatus	B. vulgatus pSG62#2	0	tech1	biol1	plate8	TRUE	17.228523769808174	0.9994520094370398	0
B. vulgatus	B. vulgatus pSG62#2	0	tech1	biol2	plate8	TRUE	15.93577981651376	0.9958702998629846	0
B. vulgatus	B. vulgatus pSG62#2	0	tech1	biol3	plate5	TRUE	16.452877397831525	1.0073350586940701	0
B. vulgatus	B. vulgatus pSG62#2	0	tech2	biol1	plate8	TRUE	17.72810675562969	1.02843355340048	0
B. vulgatus	B. vulgatus pSG62#2	0	tech2	biol2	plate8	TRUE	16.138448707256046	1.0085356310435312	0
B. vulgatus	B. vulgatus pSG62#2	0	tech2	biol3	plate5	TRUE	16.78065054211843	1.0274031216568504	0
B. vulgatus	B. vulgatus pSG62#2	5	tech1	biol1	plate8	FALSE	13.307756463719766	0.7720025300177861	5
B. vulgatus	B. vulgatus pSG62#2	5	tech1	biol2	plate8	FALSE	16.412010008340282	1.025631222102047	5
B. vulgatus	B. vulgatus pSG62#2	5	tech1	biol3	plate5	FALSE	15.445371142618848	0.9456500203759054	5
B. vulgatus	B. vulgatus pSG62#2	5	tech2	biol1	plate8	FALSE	13.404503753127607	0.7776149826050299	5
B. vulgatus	B. vulgatus pSG62#2	5	tech2	biol2	plate8	FALSE	16.49374478732277	1.030739051137823	5
B. vulgatus	B. vulgatus pSG62#2	5	tech2	biol3	plate5	FALSE	15.615512927439532	0.956067030158112	5
B. vulgatus	B. vulgatus pSG62#2	10	tech1	biol1	plate8	FALSE	4.83069224353628	0.28023556366652147	10
B. vulgatus	B. vulgatus pSG62#2	10	tech1	biol2	plate8	FALSE	3.7481234361968307	0.2342304457834434	10
B. vulgatus	B. vulgatus pSG62#2	10	tech1	biol3	plate5	FALSE	0.9708090075062552	0.059438232286708456	10
B. vulgatus	B. vulgatus pSG62#2	10	tech2	biol1	plate8	FALSE	4.3961634695579646	0.25502791023588306	10
B. vulgatus	B. vulgatus pSG62#2	10	tech2	biol2	plate8	FALSE	2.5529608006672224	0.1595414763113307	10
B. vulgatus	B. vulgatus pSG62#2	10	tech2	biol3	plate5	FALSE	0.7180984153461217	0.04396590893372507	10
B. vulgatus	B. vulgatus pSG67#2	0	tech1	biol1	plate8	TRUE	17.10964550700742	0.9925557065255386	0
B. vulgatus	B. vulgatus pSG67#2	0	tech1	biol2	plate8	TRUE	16.03792250618302	1.0022534748416152	0
B. vulgatus	B. vulgatus pSG67#2	0	tech1	biol3	plate5	TRUE	16.152514427040398	0.9889451963316798	0
B. vulgatus	B. vulgatus pSG67#2	0	tech2	biol1	plate8	TRUE	17.605111294311627	1.0212984057460188	0
B. vulgatus	B. vulgatus pSG67#2	0	tech2	biol2	plate8	TRUE	16.4204451772465	1.026158358789724	0
B. vulgatus	B. vulgatus pSG67#2	0	tech2	biol3	plate5	TRUE	16.35696619950536	1.0014628510394967	0
B. vulgatus	B. vulgatus pSG67#2	5	tech1	biol1	plate8	FALSE	17.81863149216818	1.0336850265415336	5
B. vulgatus	B. vulgatus pSG67#2	5	tech1	biol2	plate8	FALSE	16.44105523495466	1.0274463374507212	5
B. vulgatus	B. vulgatus pSG67#2	5	tech1	biol3	plate5	FALSE	16.70898598516076	1.023015425879165	5
B. vulgatus	B. vulgatus pSG67#2	5	tech2	biol1	plate8	FALSE	17.31986809563067	1.0047510281581884	5
B. vulgatus	B. vulgatus pSG67#2	5	tech2	biol2	plate8	FALSE	16.13272877164056	1.0081781766822024	5
B. vulgatus	B. vulgatus pSG67#2	5	tech2	biol3	plate5	FALSE	16.75762572135202	1.0259934163136861	5
B. vulgatus	B. vulgatus pSG67#2	10	tech1	biol1	plate8	FALSE	16.934872217642212	0.9824168508936887	10
B. vulgatus	B. vulgatus pSG67#2	10	tech1	biol2	plate8	FALSE	13.752679307502063	0.8594424009102408	10
B. vulgatus	B. vulgatus pSG67#2	10	tech1	biol3	plate5	FALSE	16.14509480626546	0.9884909266043799	10
B. vulgatus	B. vulgatus pSG67#2	10	tech2	biol1	plate8	FALSE	16.82605111294312	0.9761039785191405	10
B. vulgatus	B. vulgatus pSG67#2	10	tech2	biol2	plate8	FALSE	13.117889530090686	0.8197726581515257	10
B. vulgatus	B. vulgatus pSG67#2	10	tech2	biol3	plate5	FALSE	16.138499587798847	0.9880871312912245	10
B. vulgatus	B. vulgatus pSG70#2	0	tech1	biol1	plate8	TRUE	17.10271646859083	0.9921537428134146	0
B. vulgatus	B. vulgatus pSG70#2	0	tech1	biol2	plate8	TRUE	16.599320882852293	1.0373367890034275	0
B. vulgatus	B. vulgatus pSG70#2	0	tech1	biol3	plate5	TRUE	16.411714770797964	1.0048148577397789	0
B. vulgatus	B. vulgatus pSG70#2	0	tech2	biol1	plate8	TRUE	17.11035653650255	0.9925969543925741	0
B. vulgatus	B. vulgatus pSG70#2	0	tech2	biol2	plate8	TRUE	16.38030560271647	1.0236499274117898	0
B. vulgatus	B. vulgatus pSG70#2	0	tech2	biol3	plate5	TRUE	16.485568760611205	1.0093366025607253	0
B. vulgatus	B. vulgatus pSG70#2	5	tech1	biol1	plate8	FALSE	6.33106960950764	0.3672746619299373	5
B. vulgatus	B. vulgatus pSG70#2	5	tech1	biol2	plate8	FALSE	5.360780984719865	0.33500980988834234	5
B. vulgatus	B. vulgatus pSG70#2	5	tech1	biol3	plate5	FALSE	3.7707979626485573	0.2308688562602854	5
B. vulgatus	B. vulgatus pSG70#2	5	tech2	biol1	plate8	FALSE	6.238539898132428	0.36190687724900905	5
B. vulgatus	B. vulgatus pSG70#2	5	tech2	biol2	plate8	FALSE	4.561120543293719	0.2850368501235255	5
B. vulgatus	B. vulgatus pSG70#2	5	tech2	biol3	plate5	FALSE	4.213073005093379	0.25794735110756334	5
B. vulgatus	B. vulgatus pSG70#2	10	tech1	biol2	plate8	FALSE	1.8582342954159594	0.11612612412439925	10
B. vulgatus	B. vulgatus pSG70#2	10	tech1	biol3	plate5	FALSE	0.22071307300509346	0.01351326038443814	10
B. vulgatus	B. vulgatus pSG70#2	10	tech2	biol1	plate8	FALSE	1.4550084889643466	0.08440718296432188	10
B. vulgatus	B. vulgatus pSG70#2	10	tech2	biol2	plate8	FALSE	1.1816638370118846	0.07384539277348733	10
B. vulgatus	B. vulgatus pSG70#2	10	tech2	biol3	plate5	FALSE	0.3217317487266555	0.019698175714238673	10
B. vulgatus	MGAM	0	tech1	biol1	plate6	TRUE	16.4067300658376	0.9517785476970707	0
B. vulgatus	MGAM	0	tech1	biol2	plate6	TRUE	15.064374542794441	0.9414138100499311	0
B. vulgatus	MGAM	0	tech1	biol3	plate3	TRUE	15.2626188734455	0.9344609278334379	0
B. vulgatus	MGAM	0	tech2	biol1	plate6	TRUE	17.01609363569861	0.987128624843123	0
B. vulgatus	MGAM	0	tech2	biol2	plate6	TRUE	15.570592538405268	0.9730487518531921	0
B. vulgatus	MGAM	0	tech2	biol3	plate3	TRUE	16.06949524506218	0.9838623083645096	0
B. vulgatus	MGAM	5	tech1	biol1	plate6	FALSE	0.1697147037307975	0.009845399637315882	5
B. vulgatus	MGAM	5	tech1	biol2	plate6	FALSE	-0.018288222384784215	-0.0011428808454935317	5
B. vulgatus	MGAM	5	tech1	biol3	plate3	FALSE	-0.18288222384784217	-0.011197049077758805	5
B. vulgatus	MGAM	5	tech2	biol1	plate6	FALSE	0.4177029992684712	0.024231565486669677	5
B. vulgatus	MGAM	5	tech2	biol2	plate6	FALSE	0.38551572787125093	0.024091928223003628	5
B. vulgatus	MGAM	5	tech2	biol3	plate3	FALSE	-0.03438185808339433	-0.0021050452266186555	5
B. vulgatus	MGAM	10	tech1	biol1	plate6	FALSE	0.14118507681053413	0.00819035400862916	10
B. vulgatus	MGAM	10	tech1	biol2	plate6	FALSE	-0.06291148500365769	-0.003931510108497748	10
B. vulgatus	MGAM	10	tech1	biol3	plate3	FALSE	-0.1119239209948794	-0.006852594035588388	10
B. vulgatus	MGAM	10	tech2	biol1	plate6	FALSE	0.11923920994879306	0.00691724198656245	10
B. vulgatus	MGAM	10	tech2	biol2	plate6	FALSE	0.02121433796634969	0.0013257417807724969	10
B. vulgatus	MGAM	10	tech2	biol3	plate3	FALSE	-0.11119239209948803	-0.006807805839277353	10
P. copri	B. vulgatus	0	tech1	biol3	plate4	TRUE	13.10226442658875	1.0336361882963794	0
P. copri	B. vulgatus	0	tech2	biol2	plate7	TRUE	14.092768444119795	1.068778905691612	0
P. copri	B. vulgatus	0	tech2	biol3	plate4	TRUE	13.063550036523008	1.0305820143553799	0
P. copri	B. vulgatus	5	tech1	biol1	plate7	FALSE	-0.1541271000730458	-0.012177388625235614	5
P. copri	B. vulgatus	5	tech1	biol2	plate7	FALSE	-0.20379839298758193	-0.015455829300158574	5
P. copri	B. vulgatus	5	tech1	biol3	plate4	FALSE	-0.1146822498173847	-0.009047269976168323	5
P. copri	B. vulgatus	5	tech2	biol1	plate7	FALSE	-0.062089116143170246	-0.004905583095474073	5
