strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. thetaiotaomicron	C. perfringens	10	Niclosamide	F10	tech2	biol3	plate2	22	0.004018081366147668	-0.004222972972972977	-0.007601351351351359
B. thetaiotaomicron	C. perfringens	10	Niclosamide	G10	tech3	biol1	plate2	20	0.0045589692765114	-0.015228426395939054	-0.01692047377326562
B. thetaiotaomicron	C. perfringens	10	Niclosamide	G10	tech3	biol2	plate2	21	0.015400678673975467	-0.010779436152570444	-0.015754560530679904
B. thetaiotaomicron	C. perfringens	10	Niclosamide	G10	tech3	biol3	plate2	22	0.004771471622300356	-0.005912162162162168	-0.007601351351351359
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	C9	tech1	biol1	plate1	200	1.038852910382202	1.0096406660823838	1.0096406660823838
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	C9	tech1	biol2	plate3	200	0.9943969330580951	1.0400745573159365	1.0400745573159365
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	C9	tech1	biol3	plate5	200	0.985960494072023	1.0017699115044247	1.0017699115044247
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	D9	tech2	biol1	plate1	200	1.0371889708567632	1.0026292725679227	1.0026292725679227
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	D9	tech2	biol2	plate3	200	1.005603066941905	1.0512581547064306	1.0512581547064306
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	D9	tech2	biol3	plate5	200	0.9870805855165808	0.9982300884955753	0.9982300884955753
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	E8	tech1	biol1	plate3	20	0.9561533573395468	0.9337589784517157	0.9337589784517157
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	E8	tech1	biol2	plate3	21	0.9008551576696955	0.936698717948718	0.936698717948718
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	E8	tech1	biol3	plate3	22	0.9824468085106381	0.9507269789983845	0.9507269789983845
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	F8	tech2	biol1	plate3	20	1	0.9577015163607341	0.9577015163607341
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	F8	tech2	biol2	plate3	21	1	0.9447115384615383	0.9447115384615383
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	F8	tech2	biol3	plate3	22	1	0.9539579967689823	0.9539579967689823
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	G8	tech3	biol1	plate3	20	1.0362211395890701	0.9592976855546687	0.9592976855546687
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	G8	tech3	biol2	plate3	21	1.0165686798503475	0.936698717948718	0.936698717948718
B. thetaiotaomicron	E. coli ED1a	0	Niclosamide	G8	tech3	biol3	plate3	22	1.0404255319148934	0.9668820678513732	0.9668820678513732
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	C10	tech1	biol1	plate1	200	0.004437172067836423	-0.0035056967572305027	-0.007011393514461005
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	C10	tech1	biol2	plate3	200	0.011206133883810088	0.007455731593662584	-0.0037278657968313174
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	C10	tech1	biol3	plate5	200	0.007000571528486395	-0.007079646017699122	-0.012389380530973463
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	D10	tech2	biol1	plate1	200	0.0024959092881579894	-0.0035056967572305027	-0.005258545135845754
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	D10	tech2	biol2	plate3	200	0.005308168681804781	-0.0018639328984156587	-0.009319664492078293
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	D10	tech2	biol3	plate5	200	0.008680708695323131	-0.0017699115044247805	-0.010619469026548683
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	E10	tech1	biol1	plate3	20	0.40648167761067566	0.7326416600159615	0.7326416600159615
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	E10	tech1	biol2	plate3	21	0.04569748797434526	0.031249999999999983	0.031249999999999983
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	E10	tech1	biol3	plate3	22	0.01622340425531914	0.02988691437802906	0.02988691437802906
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	F10	tech2	biol1	plate3	20	0.4638847701758103	0.7805267358339983	0.7805267358339983
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	F10	tech2	biol2	plate3	21	0.05959380010689475	0.06169871794871792	0.06169871794871792
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	F10	tech2	biol3	plate3	22	0.015425531914893606	0.02827140549273019	0.02827140549273019
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	G10	tech3	biol1	plate3	20	0.5005295488244017	0.8076616121308858	0.8076616121308858
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	G10	tech3	biol2	plate3	21	0.05291288081239982	0.07932692307692306	0.07932692307692306
B. thetaiotaomicron	E. coli ED1a	5	Niclosamide	G10	tech3	biol3	plate3	22	0.0204787234042553	0.042810985460420024	0.042810985460420024
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	C11	tech1	biol1	plate1	200	0.013034192949269498	0.008764241893076256	-0.0035056967572305027
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	C11	tech1	biol2	plate3	200	0.010321439103509298	-0.0037278657968313174	-0.013047530288909611
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	C11	tech1	biol3	plate5	200	0.008680708695323131	-0.003539823008849561	-0.010619469026548683
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	D11	tech2	biol1	plate1	200	0.009151667389912625	-0.0035056967572305027	-0.010517090271691508
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	D11	tech2	biol2	plate3	200	0.0058979652020053125	-0.007455731593662635	-0.011183597390493953
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	D11	tech2	biol3	plate5	200	0.0053204343616496605	-0.003539823008849561	-0.012389380530973463
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	E9	tech1	biol1	plate3	20	6.354585892819327e-4	-0.006384676775738233	-0.007980845969672792
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	E9	tech1	biol2	plate3	21	0.1095670764297168	0.11778846153846151	0.06009615384615381
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	E9	tech1	biol3	plate3	22	0.0026595744680851085	-8.077544426494353e-4	-0.004038772213247176
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	F9	tech2	biol1	plate3	20	0.002965473416649018	-0.0015961691939345582	-0.004788507581803675
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	F9	tech2	biol2	plate3	21	0.027258150721539313	-8.01282051282052e-4	-0.00400641025641026
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	F9	tech2	biol3	plate3	22	0.004255319148936174	-8.077544426494353e-4	-0.004038772213247176
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	G9	tech3	biol1	plate3	20	0.004236390595212882	0.0031923383878691165	0.0031923383878691165
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	G9	tech3	biol2	plate3	21	0.01790486370924642	-0.002403846153846156	-0.013621794871794884
B. thetaiotaomicron	E. coli ED1a	10	Niclosamide	G9	tech3	biol3	plate3	22	7.978723404255325e-4	-0.002423263327948306	-0.004038772213247176
B. thetaiotaomicron	E. rectale	0	Niclosamide	C5	tech1	biol1	plate6	178	1.0104696955143597	0.9976322020520917	0.9976322020520917
B. thetaiotaomicron	E. rectale	0	Niclosamide	C5	tech1	biol2	plate6	181	1.0201720093823299	0.9908561928512054	0.9908561928512054
B. thetaiotaomicron	E. rectale	0	Niclosamide	C5	tech1	biol3	plate3	183	0.9960797978918023	0.9991967871485943	0.9991967871485943
B. thetaiotaomicron	E. rectale	0	Niclosamide	D5	tech2	biol1	plate6	178	0.9895303044856402	0.9976322020520917	0.9976322020520917
B. thetaiotaomicron	E. rectale	0	Niclosamide	D5	tech2	biol2	plate6	181	0.9798279906176699	0.9709060681629261	0.9709060681629261
B. thetaiotaomicron	E. rectale	0	Niclosamide	D5	tech2	biol3	plate3	183	1.0039202021081977	1.010441767068273	1.010441767068273
B. thetaiotaomicron	E. rectale	0	Niclosamide	E8	tech1	biol1	plate1	20	1	0.9975903614457831	0.9975903614457831
B. thetaiotaomicron	E. rectale	0	Niclosamide	E8	tech1	biol2	plate1	21	0.9876887340301975	0.99375	0.99375
B. thetaiotaomicron	E. rectale	0	Niclosamide	E8	tech1	biol3	plate1	22	0.9775923718712752	1	1
B. thetaiotaomicron	E. rectale	0	Niclosamide	F8	tech2	biol1	plate1	20	0.9926683387999228	0.9767068273092369	0.9767068273092369
B. thetaiotaomicron	E. rectale	0	Niclosamide	F8	tech2	biol2	plate1	21	1	0.99375	0.99375
B. thetaiotaomicron	E. rectale	0	Niclosamide	F8	tech2	biol3	plate1	22	1	1.0048939641109298	1.0048939641109298
